gain_to_exit,loose_to_exit,returns
0.91,0.06,-43.3618
0.91,0.11,-58.3809
0.91,0.16,-39.1582
0.91,0.21,-62.2091
0.91,0.26,-16.5852
0.91,0.31,-42.8837
0.91,0.36,-47.5695
0.91,0.41,23.8636
0.91,0.46,-38.0833
0.91,0.51,-0.8273
0.91,0.56,-4.2479
0.91,0.61,-14.8466
0.91,0.66,-25.4135
0.91,0.71,8.3164
0.91,0.76,6.7993
0.91,0.81,17.6182
0.91,0.86,17.6182
0.91,0.91,17.6182
0.91,0.96,17.6182
0.91,1.01,17.6182
0.96,0.01,-22.4409
0.96,0.06,-32.7388
0.96,0.11,-56.7095
0.96,0.16,-36.7148
0.96,0.21,-60.6914
0.96,0.26,-12.8547
0.96,0.31,-40.3294
0.96,0.36,-45.2247
0.96,0.41,22.6444
0.96,0.46,-35.3143
0.96,0.51,3.6078
0.96,0.56,0.0343
0.96,0.61,-11.0384
0.96,0.66,-22.0778
0.96,0.71,23.0992
0.96,0.76,9.26
0.96,0.81,20.3282
0.96,0.86,20.3282
0.96,0.91,20.3282
0.96,0.96,20.3282
0.96,1.01,20.3282
1.01,0.01,-22.4409
1.01,0.06,-32.7388
1.01,0.11,-56.7095
1.01,0.16,-36.7148
1.01,0.21,-60.6914
1.01,0.26,-9.1284
1.01,0.31,-37.7779
1.01,0.36,-42.8825
1.01,0.41,24.6426
1.01,0.46,-32.5484
1.01,0.51,8.0381
1.01,0.56,4.3117
1.01,0.61,-7.2344
1.01,0.66,-18.7459
1.01,0.71,25.1047
1.01,0.76,10.9245
1.01,0.81,10.9245
1.01,0.86,10.9245
1.01,0.91,10.9245
1.01,0.96,10.9245
1.01,1.01,10.9245
