gain_to_exit,loose_to_exit,returns
0.81,0.36,-77.1417
0.81,0.41,-85.1145
0.81,0.46,-83.4276
0.81,0.51,-63.6759
0.81,0.56,-57.5921
0.81,0.61,-68.7613
0.81,0.66,-87.8128
0.81,0.71,-90.5245
0.81,0.76,-89.5911
0.81,0.81,-67.0885
0.81,0.86,-67.0885
0.81,0.91,-67.0885
0.81,0.96,-67.0885
0.81,1.01,-67.0885
0.86,0.01,59.5894
0.86,0.06,-80.2493
0.86,0.11,-60.3176
0.86,0.16,-83.539
0.86,0.21,-86.6673
0.86,0.26,-68.809
0.86,0.31,-75.0932
0.86,0.36,-75.02
0.86,0.41,-83.7328
0.86,0.46,-81.8893
0.86,0.51,-62.84
0.86,0.56,-56.6161
0.86,0.61,-68.0424
0.86,0.66,-87.1526
0.86,0.71,-90.1647
0.86,0.76,-89.1958
0.86,0.81,-67.0885
0.86,0.86,-67.0885
0.86,0.91,-67.0885
0.86,0.96,-67.0885
0.86,1.01,-67.0885
0.91,0.01,73.2698
0.91,0.06,-78.5562
0.91,0.11,-77.6763
0.91,0.16,-89.9433
0.91,0.21,-92.4171
0.91,0.26,-87.033
0.91,0.31,-90.3208
0.91,0.36,-91.0721
0.91,0.41,-89.8969
0.91,0.46,-89.7596
0.91,0.51,-61.0894
0.91,0.56,-60.0682
0.91,0.61,-65.5898
0.91,0.66,-92.5459
0.91,0.71,-89.8297
0.91,0.76,-88.8278
0.91,0.81,-67.0885
0.91,0.86,-67.0885
0.91,0.91,-67.0885
0.91,0.96,-67.0885
0.91,1.01,-67.0885
0.96,0.01,78.279
0.96,0.06,-77.9363
0.96,0.11,-77.0309
0.96,0.16,-89.6525
0.96,0.21,-92.1979
0.96,0.26,-86.5159
0.96,0.31,-89.9348
0.96,0.36,-90.7161
0.96,0.41,-89.494
0.96,0.46,-89.3512
0.96,0.51,-68.0503
0.96,0.56,-63.6732
0.96,0.61,-66.2526
0.96,0.66,-92.3304
0.96,0.71,-89.4879
0.96,0.76,-88.0478
0.96,0.81,-67.0885
0.96,0.86,-67.0885
0.96,0.91,-67.0885
0.96,0.96,-67.0885
0.96,1.01,-67.0885
1.01,0.01,85.9405
1.01,0.06,-76.9881
1.01,0.11,-75.4805
1.01,0.16,-88.9541
1.01,0.21,-91.6713
1.01,0.26,-86.1989
1.01,0.31,-89.6981
1.01,0.36,-90.4978
1.01,0.41,-89.247
1.01,0.46,-89.1009
1.01,0.51,-66.8672
1.01,0.56,-62.328
1.01,0.61,-65.0029
1.01,0.66,-91.8127
1.01,0.71,-89.4879
1.01,0.76,-88.0478
1.01,0.81,-67.0885
1.01,0.86,-67.0885
1.01,0.91,-67.0885
1.01,0.96,-67.0885
1.01,1.01,-67.0885
